code,parent_code,level,name,position,default_department_number,default_used_department_number
art_architecture_photography__design,,primary,"Art, Architecture, Photography & Design",1,110,130
art_architecture_photography__design.architecture,art_architecture_photography__design,secondary,Architecture,1,110,130
art_architecture_photography__design.architecture.architecture__design,art_architecture_photography__design.architecture,minor,Architecture & Design,1,110,130
art_architecture_photography__design.architecture.architectural_practice,art_architecture_photography__design.architecture,minor,Architectural Practice,2,110,130
art_architecture_photography__design.architecture.architects,art_architecture_photography__design.architecture,minor,Architects,3,110,130
art_architecture_photography__design.architecture.architectural_history,art_architecture_photography__design.architecture,minor,Architectural History,4,110,130
art_architecture_photography__design.architecture.classical,art_architecture_photography__design.architecture,minor,Classical,5,110,130
art_architecture_photography__design.architecture.medieval,art_architecture_photography__design.architecture,minor,Medieval,6,110,130
art_architecture_photography__design.architecture.renaissance,art_architecture_photography__design.architecture,minor,Renaissance,7,110,130
art_architecture_photography__design.architecture.17th_century,art_architecture_photography__design.architecture,minor,17th Century,8,110,130
art_architecture_photography__design.architecture.18th_century,art_architecture_photography__design.architecture,minor,18th Century,9,110,130
art_architecture_photography__design.architecture.19th_century,art_architecture_photography__design.architecture,minor,19th Century,10,110,130
art_architecture_photography__design.architecture.20th_century,art_architecture_photography__design.architecture,minor,20th Century,11,110,130
art_architecture_photography__design.architecture.postmodern,art_architecture_photography__design.architecture,minor,Post-Modern,12,110,130
art_architecture_photography__design.architecture.professional_design,art_architecture_photography__design.architecture,minor,Professional Design,13,110,130
art_architecture_photography__design.art,art_architecture_photography__design,secondary,Art,14,110,130
art_architecture_photography__design.art.clip_art,art_architecture_photography__design.art,minor,Clip Art,14,110,130
art_architecture_photography__design.art.stereograms,art_architecture_photography__design.art,minor,Stereograms,15,110,130
art_architecture_photography__design.art.architecture,art_architecture_photography__design.art,minor,Architecture,16,110,130
art_architecture_photography__design.art_history__criticism,art_architecture_photography__design,secondary,Art History & Criticism,17,110,130
art_architecture_photography__design.art_history__criticism.art_history__criticism,art_architecture_photography__design.art_history__criticism,minor,Art History & Criticism,17,110,130
art_architecture_photography__design.art_history__criticism.ancientclassical,art_architecture_photography__design.art_history__criticism,minor,Ancient/Classical,18,110,130
