Domain,Table,Field,Type,Constraints,Notes / Enum Values
Classification and Configuration,departments,id,bigint,"primary key, auto-increment",
Classification and Configuration,departments,organization_id,bigint,"FK: organizations, null: false",
Classification and Configuration,departments,parent_department_id,bigint,FK: departments,Null for a top-level department.
Classification and Configuration,departments,department_number,string,null: false; limit: 10; unique with organization_id,Human-facing financial department number; string preserves leading zeroes.
Classification and Configuration,departments,name,string,null: false,
Classification and Configuration,departments,code,string,null: false; unique with organization_id,Stable machine-readable code.
Classification and Configuration,departments,postable,boolean,"null: false, default: true",False for reporting-only parent departments.
Classification and Configuration,departments,inventory_asset_gl_account_code,string,limit: 20,Direct mapping retained pending a later accounting-mapping decision.
Classification and Configuration,departments,sales_revenue_gl_account_code,string,limit: 20,
Classification and Configuration,departments,sales_returns_gl_account_code,string,limit: 20,
Classification and Configuration,departments,sales_discounts_gl_account_code,string,limit: 20,
Classification and Configuration,departments,cogs_gl_account_code,string,limit: 20,
Classification and Configuration,departments,vendor_returns_gl_account_code,string,limit: 20,
Classification and Configuration,departments,inventory_shrinkage_gl_account_code,string,limit: 20,
Classification and Configuration,departments,inventory_write_down_gl_account_code,string,limit: 20,
Classification and Configuration,departments,inventory_adjustment_gl_account_code,string,limit: 20,
Classification and Configuration,departments,freight_in_gl_account_code,string,limit: 20,
Classification and Configuration,departments,default_tax_category_id,bigint,FK: tax_categories,Default only; variants and products may override.
Classification and Configuration,departments,maximum_merchandise_discount,integer,,Maximum merchandise discount for items posting to this department; user authority is evaluated separately.
Classification and Configuration,departments,default_return_policy_id,bigint,FK: return_policies,Department-level default; product or variant policy may override.
Classification and Configuration,departments,active,boolean,"null: false, default: true",
Classification and Configuration,departments,created_at,datetime,null: false,Rails timestamp.
Classification and Configuration,departments,updated_at,datetime,null: false,Rails timestamp.
Classification and Configuration,merchandise_classes,id,bigint,"primary key, auto-increment",
Classification and Configuration,merchandise_classes,organization_id,bigint,"FK: organizations, null: false",
Classification and Configuration,merchandise_classes,parent_id,bigint,FK: merchandise_classes,Added: 26-07-17
Classification and Configuration,merchandise_classes,code,string,null: false; unique with organization_id,
Classification and Configuration,merchandise_classes,name,string,null: false,
Classification and Configuration,merchandise_classes,level,string,null: false,"primary, secondary, minor"
Classification and Configuration,merchandise_classes,description,text,,
Classification and Configuration,merchandise_classes,default_department_id,bigint,"FK: departments, null: false",
Classification and Configuration,merchandise_classes,default_used_department_id,bigint,FK: departments,Optional interim used-merchandise Department default; does not create a separate merchandising hierarchy.
Classification and Configuration,merchandise_classes,default_inventory_tracking_mode,string,,"Optional setup default only: quantity, individual, none. Runtime authority is product_variants.inventory_tracking_mode."
Classification and Configuration,merchandise_classes,default_discountability,string,,"allowed, not_allowed, approval_required."
Classification and Configuration,merchandise_classes,default_returnability,string,,"allowed, not_allowed, approval_required."
Classification and Configuration,merchandise_classes,default_tax_category_id,bigint,FK: tax_categories,
Classification and Configuration,merchandise_classes,shelving_guidance,text,,
Classification and Configuration,merchandise_classes,active,boolean,"null: false, default: true",
Classification and Configuration,merchandise_classes,created_at,datetime,null: false,Rails timestamp.
Classification and Configuration,merchandise_classes,updated_at,datetime,null: false,Rails timestamp.
Classification and Configuration,product_formats,id,bigint,"primary key, auto-increment",
Classification and Configuration,product_formats,organization_id,bigint,"FK: organizations, null: false",
Classification and Configuration,product_formats,name,string,null: false,"Examples: Hardcover, Trade Paperback, Vinyl Record, Greeting Card."
Classification and Configuration,product_formats,code,string,null: false; unique with organization_id,Stable internal code.
Classification and Configuration,product_formats,short_code,string,limit: 2; unique with organization_id,Bookstore or industry-facing abbreviation where applicable.
Classification and Configuration,product_formats,format_family,string,,"book, recorded_music, video, game, periodical, stationery, gift, cafe, service, digital, other."
Classification and Configuration,product_formats,default_inventory_tracking_mode,string,,"Optional setup default only: quantity, individual, none."
Classification and Configuration,product_formats,active,boolean,"null: false, default: true",
Classification and Configuration,product_formats,created_at,datetime,null: false,Rails timestamp.
Classification and Configuration,product_formats,updated_at,datetime,null: false,Rails timestamp.
Classification and Configuration,product_conditions,id,bigint,"primary key, auto-increment",
Classification and Configuration,product_conditions,organization_id,bigint,"FK: organizations, null: false",
Classification and Configuration,product_conditions,name,string,null: false,"Examples: New, Like New, Very Good, Good, Fair, Poor, Collectible."
Classification and Configuration,product_conditions,code,string,null: false; unique with organization_id,
Classification and Configuration,product_conditions,description,text,,
Classification and Configuration,product_conditions,position,smallint,"null: false, default: 0",
Classification and Configuration,product_conditions,active,boolean,"null: false, default: true",
Classification and Configuration,product_conditions,created_at,datetime,null: false,Rails timestamp.
