Primary,Secondary,Minor,primary_code,secondary_code,minor_code,default_department,default used department
"Art, Architecture, Photography & Design",Architecture,Architecture & Design,art_architecture_photography__design,architecture,architecture__design,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Architecture,Architectural Practice,art_architecture_photography__design,architecture,architectural_practice,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Architecture,Architects,art_architecture_photography__design,architecture,architects,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Architecture,Architectural History,art_architecture_photography__design,architecture,architectural_history,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Architecture,Classical,art_architecture_photography__design,architecture,classical,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Architecture,Medieval,art_architecture_photography__design,architecture,medieval,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Architecture,Renaissance,art_architecture_photography__design,architecture,renaissance,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Architecture,17th Century,art_architecture_photography__design,architecture,17th_century,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Architecture,18th Century,art_architecture_photography__design,architecture,18th_century,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Architecture,19th Century,art_architecture_photography__design,architecture,19th_century,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Architecture,20th Century,art_architecture_photography__design,architecture,20th_century,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Architecture,Post-Modern,art_architecture_photography__design,architecture,postmodern,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Architecture,Professional Design,art_architecture_photography__design,architecture,professional_design,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art,Clip Art,art_architecture_photography__design,art,clip_art,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art,Stereograms,art_architecture_photography__design,art,stereograms,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art,Architecture,art_architecture_photography__design,art,architecture,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art History & Criticism,Art History & Criticism,art_architecture_photography__design,art_history__criticism,art_history__criticism,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art History & Criticism,Ancient/Classical,art_architecture_photography__design,art_history__criticism,ancientclassical,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art History & Criticism,Renaissance,art_architecture_photography__design,art_history__criticism,renaissance,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art History & Criticism,17th Century,art_architecture_photography__design,art_history__criticism,17th_century,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art History & Criticism,18th Century,art_architecture_photography__design,art_history__criticism,18th_century,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art History & Criticism,19th Century,art_architecture_photography__design,art_history__criticism,19th_century,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art History & Criticism,World Art,art_architecture_photography__design,art_history__criticism,world_art,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art History & Criticism,Impressionism,art_architecture_photography__design,art_history__criticism,impressionism,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art History & Criticism,20th Century,art_architecture_photography__design,art_history__criticism,20th_century,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art Techniques & Media,Art Techniques,art_architecture_photography__design,art_techniques__media,art_techniques,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art Techniques & Media,Drawing,art_architecture_photography__design,art_techniques__media,drawing,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art Techniques & Media,Watercolor,art_architecture_photography__design,art_techniques__media,watercolor,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art Techniques & Media,Color Theory,art_architecture_photography__design,art_techniques__media,color_theory,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art Techniques & Media,Calligraphy,art_architecture_photography__design,art_techniques__media,calligraphy,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art Techniques & Media,Sculpture Techniques,art_architecture_photography__design,art_techniques__media,sculpture_techniques,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art Techniques & Media,Sculpture,art_architecture_photography__design,art_techniques__media,sculpture,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art Techniques & Media,Painting,art_architecture_photography__design,art_techniques__media,painting,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design",Art Techniques & Media,Stencil Art,art_architecture_photography__design,art_techniques__media,stencil_art,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design","Artists, Monographs & Collections",Collections,art_architecture_photography__design,artists_monographs__collections,collections,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design","Artists, Monographs & Collections",Artists,art_architecture_photography__design,artists_monographs__collections,artists,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design","Design, Fashion & Art Careers",Couture,art_architecture_photography__design,design_fashion__art_careers,couture,110: Books / New General Trade,130: Books / Used & Collectible
"Art, Architecture, Photography & Design","Design, Fashion & Art Careers",Graphic Design,art_architecture_photography__design,design_fashion__art_careers,graphic_design,110: Books / New General Trade,130: Books / Used & Collectible
